,Description,Price,Sq_feet
105,3 BHK Residential Apartment for rent in Hi-Tech City,1.62,3430
106,4 BHK Residential Apartment for rent in Gachibowli,55000,2100
107,3 BHK Residential Apartment for rent in Whitefield,25000,1350
108,2 Bedroom Independent House for rent in 9th Phase KPHB,15000,1755
109,3 BHK Residential Apartment for rent in Moti Nagar,25000,1225
110,3 BHK Residential Apartment for rent in Financial District,55000,1950
111,4 Bedroom Independent House for rent in Gachibowli,48500,3200
112,3 BHK Residential Apartment for rent in Kokapet,35000,1735
113,4 Bedroom Independent House for rent in Manikonda,48000,4000
114,2 BHK Residential Apartment for rent in Puppalaguda,30000,1314
115,3 Bedroom Independent House for rent in Gachibowli,30000,1600
116,3 BHK Residential Apartment for rent in Gachibowli,32500,1760
117,3 BHK Residential Apartment for rent in Financial District,49000,1717
118,3 BHK Residential Apartment for rent in Financial District,35000,1200
119,3 BHK Residential Apartment for rent in Gachibowli,50000,1890
120,1 BHK Residential Apartment for rent in Sanjeeva Reddy Nagar,7000,500
121,3 BHK Residential Apartment for rent in Nallagandla,24500,1430
122,3 BHK Residential Apartment for rent in Kokapet,75000,2565
123,3 BHK Residential Apartment for rent in Gachibowli,50000,2050
124,3 BHK Residential Apartment for rent in Gachibowli,37500,1800
125,3 BHK Residential Apartment for rent in Puppalaguda,40000,1834
126,3 BHK Residential Apartment for rent in Puppalaguda,40000,1850
127,3 BHK Residential Apartment for rent in Financial District,49000,1955
128,3 BHK Residential Apartment for rent in Gachibowli,51000,2160
129,3 BHK Residential Apartment for rent in Gachibowli,40000,2160
130,3 BHK Residential Apartment for rent in Financial District,50000,1961
131,3 BHK Residential Apartment for rent in Financial District,50000,1961
132,2 BHK Residential Apartment for rent in Puppalaguda,30000,1250
133,2 BHK Residential Apartment for rent in Financial District,35000,1050
134,2 BHK Residential Apartment for rent in Manikonda,13000,850
135,5 Bedroom Independent House for rent in Laxmi Nagar,2.7,4050
136,4 Bedroom Independent House for rent in Tellapur,85000,3960
137,4 BHK Residential Apartment for rent in Narsingi,65000,3380
138,4 Bedroom Independent House for rent in Hafeezpet,1.5,3700
139,3 BHK Residential Apartment for rent in Financial District,27000,1198
140,2 BHK Residential Apartment for rent in Gachibowli,25000,1311
141,3 BHK Residential Apartment for rent in Kokapet,29000,1680
142,3 BHK Residential Apartment for rent in Gachibowli,32000,1890
143,3 BHK Residential Apartment for rent in 5th Phase KPHB,85000,3600
144,3 BHK Residential Apartment for rent in 5th Phase KPHB,60000,3600
145,3 BHK Residential Apartment for rent in 4th Phase KPHB,37000,1860
146,3 BHK Residential Apartment for rent in 4th Phase KPHB,37000,1840
147,4 BHK Residential Apartment for rent in 5th Phase KPHB,1.1,4761
148,3 BHK Residential Apartment for rent in 5th Phase KPHB,60000,3500
149,3 BHK Residential Apartment for rent in 5th Phase KPHB,35000,1840
150,3 BHK Residential Apartment for rent in Kukatpally,35000,1740
151,3 BHK Residential Apartment for rent in 4th Phase KPHB,36000,1860
152,3 BHK Residential Apartment for rent in 4th Phase KPHB,36000,1860
153,3 BHK Residential Apartment for rent in 4th Phase KPHB,36000,1931
154,3 BHK Residential Apartment for rent in 5th Phase KPHB,32000,1740
155,2 BHK Residential Apartment for rent in Gachibowli,26500,1115
156,2 BHK Residential Apartment for rent in Gachibowli,30000,1283
157,2 BHK Residential Apartment for rent in Gachibowli,30000,1283
158,2 BHK Residential Apartment for rent in Gachibowli,25000,1115
159,3 BHK Residential Apartment for rent in Puppalaguda,39000,1834
160,2 BHK Residential Apartment for rent in Hi-Tech City,50000,1353
161,3 BHK Residential Apartment for rent in Somajiguda,25000,1100
162,3 BHK Residential Apartment for rent in Gachibowli,43000,2018
163,4 Bedroom Independent House for rent in Kokapet,1.3,4100
164,4 Bedroom Independent House for rent in Kokapeta Village,1.2,3887
165,4 Bedroom Independent House for rent in Kokapet,1.8,4720
166,6 Bedroom Independent House for rent in Kondapur,1.5,3375
167,4 BHK Residential Apartment for rent in P Janardhan Reddy Nagar,45000,2362
168,3 BHK Residential Apartment for rent in Gachibowli,50000,2160
169,3 BHK Residential Apartment for rent in Financial District,50000,2018
170,3 BHK Residential Apartment for rent in Manikonda,42000,2549
171,2 BHK Residential Apartment for rent in Financial District,30000,1034
172,2 BHK Residential Apartment for rent in Financial District,16000,950
173,2 BHK Residential Apartment for rent in Nanakramguda,33000,1245
174,3 BHK Residential Apartment for rent in Gachibowli,45000,1835
175,1 BHK Residential Apartment for rent in Panjagutta,7000,500
176,2 BHK Residential Apartment for rent in Panjagutta,12100,963
177,5 Bedroom Independent House for rent in Banjara hills,2.15,3400
178,5 Bedroom Independent House for rent in Hafeezpet,1.5,3800
179,4 BHK Residential Apartment for rent in Madhapur,67000,3100
180,3 BHK Residential Apartment for rent in Kokapet,40000,1650
181,3 BHK Residential Apartment for rent in Gachibowli,40000,1741
182,3 BHK Residential Apartment for rent in Kokapet,27000,1480
183,3 BHK Residential Apartment for rent in Kokapet,27000,1480
184,2 BHK Residential Apartment for rent in Kokapet,22000,1270
185,3 Bedroom Independent House for rent in Jubilee Hills,50000,3000
186,4 BHK Residential Apartment for rent in Nanakramguda,2.5,4760
187,5 Bedroom Independent House for rent in Banjara hills,2.25,7000
188,3 BHK Residential Apartment for rent in 4th Phase KPHB,39000,1860
189,4 Bedroom Independent House for rent in Kokapet,1.3,4600
190,2 BHK Residential Apartment for rent in Kukatpally,28000,1262
191,3 BHK Residential Apartment for rent in Kukatpally,50000,1400
192,3 BHK Residential Apartment for rent in Whitefield,50000,2000
193,4 Bedroom Independent House for rent in Tellapur,90000,4500
194,3 BHK Residential Apartment for rent in Manikonda,50000,2536
195,3 BHK Residential Apartment for rent in Residential Apartment for Rent In,27000,1179
196,3 BHK Residential Apartment for rent in Financial District,17000,1198
197,2 BHK Residential Apartment for rent in Financial District,17000,950
198,4 BHK Residential Apartment for rent in Narsingi,50000,2630
199,3 BHK Residential Apartment for rent in 5th Phase KPHB,56000,3600
200,4 Bedroom Independent House for rent in Kokapet,1.8,4500
201,3 BHK Residential Apartment for rent in Financial District,35000,1750
202,3 BHK Residential Apartment for rent in Gachibowli,30000,1800
203,1 BHK Residential Apartment for rent in Begumpet,6000,650
204,1 BHK Residential Apartment for rent in Begumpet,8100,553
205,2 BHK Residential Apartment for rent in Begumpet,12100,1201
206,2 BHK Residential Apartment for rent in Kokapet,22000,1270
207,3 BHK Residential Apartment for rent in Shaikpet,20000,1000
208,2 BHK Residential Apartment for rent in Kokapet,27000,1535
209,2 BHK Residential Apartment for rent in Kokapet,27000,1535
210,3 BHK Residential Apartment for rent in Kokapet,33000,1735
211,3 BHK Residential Apartment for rent in Kokapet,45000,2800
212,4 BHK Residential Apartment for rent in Madhapur,1,2835
213,2 BHK Residential Apartment for rent in Panjagutta,12000,900
214,1 BHK Residential Apartment for rent in Begumpet,6200,520
215,1 BHK Residential Apartment for rent in S.R. Nagar,7100,631
216,2 BHK Residential Apartment for rent in Srinagar Colony,18000,1000
217,3 BHK Residential Apartment for rent in Srinagar Colony,30000,1800
218,1 BHK Residential Apartment for rent in Banjara hills,20000,600
219,2 BHK Residential Apartment for rent in Banjara hills,28000,1000
220,3 BHK Residential Apartment for rent in Jubilee Hills,38000,1500
221,3 BHK Residential Apartment for rent in Kondapur,20000,1550
222,3 BHK Residential Apartment for rent in Kondapur,22000,1600
223,3 BHK Residential Apartment for rent in Kondapur,22000,1550
224,3 BHK Residential Apartment for rent in Gachibowli,36000,1870
225,3 BHK Residential Apartment for rent in Hi-Tech City,1.1,2680
226,3 BHK Residential Apartment for rent in Financial District,80000,3015
227,3 BHK Residential Apartment for rent in Financial District,55000,2800
228,3 BHK Residential Apartment for rent in Gachibowli,16500,1660
229,3 BHK Residential Apartment for rent in Financial District,65000,2800
230,3 BHK Residential Apartment for rent in Financial District,50000,2800
231,4 BHK Residential Apartment for rent in P Janardhan Reddy Nagar,1.3,6000
232,3 BHK Residential Apartment for rent in Hi-Tech City,1,3325
233,2 BHK Residential Apartment for rent in Gowlidoddy,20000,1200
234,3 BHK Residential Apartment for rent in Gachibowli,38000,2160
235,3 BHK Residential Apartment for rent in Gachibowli,38000,2160
236,2 BHK Residential Apartment for rent in Gowlidoddy,20000,1200
237,3 BHK Residential Apartment for rent in Gachibowli,38000,2160
238,4 Bedroom Independent House for rent in Financial District,1.3,4545
239,3 BHK Residential Apartment for rent in Kokapet,29000,1675
240,1 BHK Residential Apartment for rent in Somajiguda,6500,600
241,2 BHK Residential Apartment for rent in Ameerpet,10000,900
242,3 BHK Residential Apartment for rent in Telecom Nagar,40000,1500
243,1 BHK Residential Apartment for rent in HI-TECH CITY,9000,300
244,1 BHK Residential Apartment for rent in HI-TECH CITY,11000,360
245,3 BHK Residential Apartment for rent in Kokapet,27000,1945
246,3 BHK Residential Apartment for rent in P Janardhan Reddy Nagar,49500,2200
247,3 BHK Residential Apartment for rent in Residential Apartment for Rent In,23000,1368
248,3 BHK Residential Apartment for rent in Srinagar Colony,35000,1650
249,2 BHK Residential Apartment for rent in Banjara hills,24000,1100
250,3 BHK Residential Apartment for rent in Banjara hills,40000,1600
251,3 BHK Residential Apartment for rent in Jubilee Hills,40000,1600
252,3 BHK Residential Apartment for rent in Srinagar Colony,30000,1600
253,3 BHK Residential Apartment for rent in Kondapur,24000,1650
254,2 BHK Residential Apartment for rent in Krishna Nagar,18000,1100
255,1 BHK Residential Apartment for rent in Jubilee Hills,11000,600
256,1 BHK Residential Apartment for rent in Krishna Nagar,10000,600
257,4 Bedroom Independent House for rent in Gachibowli,90000,3500
258,3 BHK Residential Apartment for rent in Kokapet,50000,2850
259,4 BHK Residential Apartment for rent in 5th Phase KPHB,1.5,4761
260,4 Bedroom Independent House for rent in Kokapet,1.5,3699
261,4 Bedroom Independent House for rent in Kokapet,1.5,3699
262,3 BHK Residential Apartment for rent in Kondapur,22000,1350
263,2 BHK Residential Apartment for rent in Jubilee Hills,18000,1000
264,1 BHK Residential Apartment for rent in Jubilee Hills,9500,600
265,3 BHK Residential Apartment for rent in Moosapet,42000,1600
266,3 BHK Residential Apartment for rent in Kukatpally,29000,1495
267,2 BHK Residential Apartment for rent in Khajaguda,28000,1200
