,Description,Price,Sq_feet
2288,2 BHK Residential Apartment for rent in Bahadurpura,13500,1100
2289,2 BHK Residential Apartment for rent in Chandanagar,15000,1400
2290,2 BHK Independent Builder Floor for rent in Chandanagar,18000,1100
2291,2 Bedroom Independent House for rent in Medipally,8000,1200
2292,1 Bedroom Independent House for rent in newhafizpet,8500,900
2293,2 BHK Independent Builder Floor for rent in Chandanagar,15000,1200
2294,2 Bedroom Independent House for rent in anjali gardens,15000,600
2295,3 BHK Residential Apartment for rent in Camelot Layout,30000,1600
2296,2 BHK Independent Builder Floor for rent in Gangaram,17000,1035
2297,2 BHK Residential Apartment for rent in Hafeezpet,20000,18000
2298,2 BHK Independent Builder Floor for rent in DNM Colony,16000,1100
2299,2 BHK Residential Apartment for rent in Ahmed Nagar,11500,800
2300,"2 BHK Independent Builder Floor for rent in Risala Khurshid Jahi,azamabad",9500,800
2301,1 Bedroom Independent House for rent in Habeeb Nagar,8000,1200
2302,2 Bedroom Independent House for rent in Narapally,9000,900
2303,2 BHK Residential Apartment for rent in Lal Bahadur Nagar,18000,1350
2304,2 BHK Residential Apartment for rent in 6 NO XROAD,16000,1250
2305,2 Bedroom Independent House for rent in Himayath Nagar,18000,1000
2306,2 BHK Independent Builder Floor for rent in Gandhamguda,13000,1400
2307,2 Bedroom Independent House for rent in Dilsukhnagar,12000,1100
2308,2 BHK Residential Apartment for rent in raja rajeshwari colony,20000,1250
2309,3 BHK Residential Apartment for rent in Vijayapuri Colony,25000,1500
2310,1 BHK Independent Builder Floor for rent in Ram Nagar,8500,720
2311,4 BHK Independent Builder Floor for rent in Madhavaram Colony,21000,1800
2312,3 BHK Residential Apartment for rent in Financial District,30000,1175
2313,3 BHK Residential Apartment for rent in Financial District,30000,1175
2314,"2 Bedroom Independent House for rent in LIG, R.C. Puram",15000,1400
2315,2 BHK Residential Apartment for rent in Indra Reddy Allwyn Colony,12000,750
2316,2 BHK Residential Apartment for rent in P&T colony,9000,1200
2317,2 BHK Residential Apartment for rent in basheerbagh,20000,1155
2318,3 BHK Residential Apartment for rent in Rajbhavan Road,32000,1640
2319,3 BHK Independent Builder Floor for rent in BHEL,16000,1600
2320,3 BHK Residential Apartment for rent in Yapral,18000,1500
2321,3 BHK Residential Apartment for rent in Masjid Banda,23000,1375
2322,3 BHK Residential Apartment for rent in Kondapur,28000,1822
2323,2 BHK Independent Builder Floor for rent in Pochamma bagh,12000,1000
2324,3 BHK Residential Apartment for rent in Erragadda,25000,1250
2325,2 BHK Residential Apartment for rent in Pochammabagh Colony,13000,1200
2326,3 BHK Independent Builder Floor for rent in Gachibowli,25000,1440
2327,"2 Bedroom Independent House for rent in Mattuguda, Nagole",9500,1380
2328,1 Bedroom Independent House for rent in Allwyn Colony,10000,1200
2329,3 BHK Residential Apartment for rent in Kukatpally,18000,1515
2330,3 Bedroom Independent House for rent in Beeramguda,12000,1800
2331,2 BHK Residential Apartment for rent in JNTU,13000,825
2332,2 Bedroom Independent House for rent in Nanakramguda,15000,1400
2333,3 BHK Residential Apartment for rent in Shaikpet,20000,1200
2334,3 BHK Residential Apartment for rent in Gachibowli,33000,1200
2335,2 BHK Independent Builder Floor for rent in Hafeezpet,12000,1100
2336,2 BHK Residential Apartment for rent in Reti Bowli,15000,1000
2337,2 BHK Residential Apartment for rent in Manikonda,28000,1270
2338,3 BHK Residential Apartment for rent in Tolichowki,30000,1602
2339,3 BHK Residential Apartment for rent in Tolichowki,30000,1602
2340,2 BHK Residential Apartment for rent in Allapur,18000,1240
2341,2 Bedroom Independent House for rent in Mallampet,17000,230
2342,3 BHK Residential Apartment for rent in Kondapur,45000,2500
2343,3 BHK Residential Apartment for rent in Kondapur,45000,2700
2344,3 BHK Residential Apartment for rent in Tellapur,13000,1500
2345,2 BHK Residential Apartment for rent in Tolichowki,11000,900
2346,1 BHK Independent Builder Floor for rent in Boduppal,6000,900
2347,"1 Bedroom Independent House for rent in Gayatrinagar,near Madhapur,Borabanda",8000,500
2348,1 BHK Independent Builder Floor for rent in Badangpet,6000,670
2349,3 BHK Residential Apartment for rent in Chilkalguda,35000,1500
2350,2 BHK Independent Builder Floor for rent in Central Park Phase-2,14000,900
2351,3 BHK Residential Apartment for rent in Manikonda,21000,1500
2352,5 Bedroom Independent House for rent in Panjagutta,1.1,4000
2353,2 BHK Independent Builder Floor for rent in Attapur,12000,800
2354,2 BHK Residential Apartment for rent in Pragathi Nagar,15000,1080
2355,1 BHK Independent Builder Floor for rent in Old Malakpet,50000,500
2356,2 Bedroom Independent House for rent in Maharaja enclave street number 1,9000,1100
2357,2 BHK Residential Apartment for rent in Rajendra Nagar,18000,928
2358,1 BHK Residential Apartment for rent in Musheerabad,8000,850
2359,2 BHK Independent Builder Floor for rent in Manikonda,22000,1100
2360,4 BHK Residential Apartment for rent in Old Nallakunta,15000,945
2361,2 BHK Residential Apartment for rent in Nallagandla,12000,1500
2362,2 BHK Residential Apartment for rent in Kothapet,13000,1000
2363,2 BHK Independent Builder Floor for rent in Kothapet,20000,1100
2364,3 BHK Independent Builder Floor for rent in Pragathi Nagar,18500,1400
2365,3 BHK Independent Builder Floor for rent in Pragathi Nagar,18500,1400
2366,2 BHK Residential Apartment for rent in Kothapet,13000,1000
2367,2 BHK Independent Builder Floor for rent in Kothapet,20000,1100
2368,3 BHK Independent Builder Floor for rent in Pragathi Nagar,18500,1400
2369,3 BHK Residential Apartment for rent in Gandhi Nagar,32000,1650
2370,2 BHK Independent Builder Floor for rent in Moti Nagar,13000,850
2371,3 BHK Residential Apartment for rent in Nizampet,11500,1475
2372,1 BHK Independent Builder Floor for rent in East Maruti Nagar,6000,1200
2373,2 BHK Residential Apartment for rent in Samatha Nagar,16000,1200
2374,2 BHK Independent Builder Floor for rent in Mythri Nagar,15000,1200
2375,3 BHK Residential Apartment for rent in Chandanagar,17000,1450
2376,2 BHK Residential Apartment for rent in Vivekanand Nagar,17000,1200
2377,2 Bedroom Independent House for rent in Gandhamguda,10000,900
2378,1 BHK Independent Builder Floor for rent in Hayathnagar,6500,700
2379,2 BHK Independent Builder Floor for rent in Hayathnagar,10000,1100
2380,1 BHK Independent Builder Floor for rent in Gachibowli,9000,600
2381,3 BHK Residential Apartment for rent in Rajendra Nagar,25000,1316
2382,1 BHK Independent Builder Floor for rent in Dilsukh Nagar,11800,510
2383,3 BHK Residential Apartment for rent in Tolichowki,15000,1200
2384,2 BHK Independent Builder Floor for rent in Hakimpet,on,1010
2385,2 Bedroom Independent House for rent in Pati,16000,1080
2386,2 Bedroom Independent House for rent in Pati,16000,1080
2387,2 Bedroom Independent House for rent in Gudimalkapur,12500,800
2388,2 BHK Independent Builder Floor for rent in Trimulgherry,11000,1400
2389,3 Bedroom Independent House for rent in Chowdhariguda,11000,2200
2390,2 BHK Residential Apartment for rent in Gudimalkapur,12500,1000
2391,2 BHK Residential Apartment for rent in Gudimalkapur,12500,1000
2392,2 BHK Residential Apartment for rent in Kothaguda,22000,1125
2393,1 BHK Residential Apartment for rent in ECIL,11000,650
2394,2 BHK Residential Apartment for rent in Chanda Nagar,18000,1250
2395,2 BHK Residential Apartment for rent in Pragathi Nagar,10000,1000
2396,2 BHK Residential Apartment for rent in Hasmatpet,11000,1000
2397,1 Bedroom Independent House for rent in Peerzadiguda,6600,600
2398,1 BHK Independent Builder Floor for rent in Ameerpet,6000,500
2399,2 BHK Independent Builder Floor for rent in Uppal,2,1100
2400,2 Bedroom Independent House for rent in kalyan nager2,13000,2700
2401,2 BHK Residential Apartment for rent in Neknampur,20000,1275
2402,3 BHK Independent Builder Floor for rent in Manikonda,21000,1376
2403,1 BHK Independent Builder Floor for rent in Hayathnagar,6500,1998
2404,2 BHK Independent Builder Floor for rent in YSR COLONY,11000,2000
2405,1 Bedroom Independent House for rent in Nacharam Mandal,8000,1000
2406,2 Bedroom Independent House for rent in Suraksha Colony,13000,266
2407,"2 BHK Residential Apartment for rent in Sai Krishnaja Hills, Vikas School Road, Miyapur",12000,1140
2408,2 BHK Residential Apartment for rent in Adarsh Nagar,29800,1430
2409,4 BHK Residential Apartment for rent in CMC enclave,50000,2400
2410,2 BHK Residential Apartment for rent in Rain tree park kphb,18000,1100
2411,2 BHK Independent Builder Floor for rent in LB Nagar,11000,1000
2412,1 Bedroom Independent House for rent in Vayu Puri,10500,500
2413,2 BHK Residential Apartment for rent in Manikonda,24000,1250
2414,3 BHK Residential Apartment for rent in Alkapuri,19500,1600
2415,2 BHK Residential Apartment for rent in Panjagutta,20000,1260
2416,3 BHK Residential Apartment for rent in New Bakaram,26000,1750
2417,3 BHK Residential Apartment for rent in New Bakaram,26000,1750
2418,3 BHK Residential Apartment for rent in Alkapuri,19500,1600
2419,2 BHK Residential Apartment for rent in Panjagutta,20000,1260
2420,3 BHK Residential Apartment for rent in New Bakaram,26000,1750
2421,2 BHK Residential Apartment for rent in Medipally,8500,1054
2422,3 BHK Residential Apartment for rent in Nallagandla,35000,1960
2423,3 BHK Residential Apartment for rent in Pragathi Nagar,13000,1470
2424,3 BHK Residential Apartment for rent in Safilguda,18500,130014
2425,2 Bedroom Independent House for rent in 15th phase KPHB,15000,750
2426,2 BHK Residential Apartment for rent in Madhapur,22000,1300
2427,3 BHK Residential Apartment for rent in Jodimetla,16000,1400
2428,2 BHK Independent Builder Floor for rent in raghavendra nagar,13000,1300
2429,2 BHK Independent Builder Floor for rent in Mallampet,10000,1250
2430,1 Bedroom Independent House for rent in Bhel Vista Layout,7000,650
2431,3 BHK Residential Apartment for rent in Kokapet,34000,1680
2432,2 BHK Residential Apartment for rent in Kondapur,16000,650
2433,2 BHK Residential Apartment for rent in Gowlidoddy,23000,1200
2434,2 BHK Residential Apartment for rent in Medchal,7000,775
2435,3 Bedroom Independent House for rent in Old Nallakunta,25000,1600
2436,3 BHK Residential Apartment for rent in Narsingi,23000,1580
2437,1 BHK Residential Apartment for rent in Beeramguda,6000,500
2438,2 BHK Residential Apartment for rent in KTR Colony,9000,1140
2439,1 BHK Independent Builder Floor for rent in Uma Nagar,7000,550
2440,1 BHK Independent Builder Floor for rent in Chandanagar,8000,90
2441,2 BHK Independent Builder Floor for rent in Lingampally,18000,1065
2442,2 BHK Independent Builder Floor for rent in Brindavan Colony,10000,950
2443,2 BHK Independent Builder Floor for rent in Brindavan Colony,10000,950
2444,2 Bedroom Independent House for rent in Uppal,9000,1150
2445,3 BHK Residential Apartment for rent in Kokapet,29000,2200
2446,2 Bedroom Independent House for rent in Ameenpur,10000,1208
2447,3 BHK Residential Apartment for rent in Attapur Ring Road,16000,1350
2448,2 Bedroom Independent House for rent in Jodimetla,8000,1917
2449,2 Bedroom Independent House for rent in Gudimalkapur,30000,2115
2450,2 BHK Residential Apartment for rent in Peeranchuruvu,10000,1000
2451,2 BHK Independent Builder Floor for rent in Brindavan Colony,9000,1250
2452,2 BHK Residential Apartment for rent in Shaikpet,11000,1020
2453,3 BHK Residential Apartment for rent in Near Shaili Gardenia,15000,1500
2454,2 BHK Independent Builder Floor for rent in Anupama nagar,7500,900
2455,1 Bedroom Independent House for rent in Avanti Nagar,8000,600
2456,2 BHK Independent Builder Floor for rent in Bandlaguda,9500,1000
2457,3 BHK Residential Apartment for rent in Manikonda,20000,1650
2458,2 Bedroom Independent House for rent in Ayodhya Nagar Colony,12500,1170
2459,1 Bedroom Independent House for rent in Aditya Nagar,9500,1080
2460,2 BHK Residential Apartment for rent in Suchitra Cross roads,11000,1250
2461,2 BHK Independent Builder Floor for rent in KPHB,17000,1150
2462,3 BHK Residential Apartment for rent in Kondapur,28000,1615
2463,2 BHK Residential Apartment for rent in sujya supermarket,10000,1000
2464,2 BHK Independent Builder Floor for rent in Boduppal,7500,1050
2465,2 Bedroom Independent House for rent in Manikonda,19000,1100
2466,2 Bedroom Independent House for rent in Bandam Kommu,15000,1350
2467,3 BHK Residential Apartment for rent in 1st Phase KPHB,21000,1350
2468,2 BHK Independent Builder Floor for rent in Tellapur,10000,950
2469,2 BHK Independent Builder Floor for rent in Tellapur,10000,950
2470,1 BHK Independent Builder Floor for rent in Champapet,5700,400
2471,2 BHK Residential Apartment for rent in Sudarshan Nagar Colony,19000,1100
2472,2 BHK Residential Apartment for rent in Huda Layout,23000,1260
2473,3 BHK Residential Apartment for rent in Prem Nagar,28000,1400
2474,2 BHK Residential Apartment for rent in borabanda,16000,1110
2475,2 BHK Residential Apartment for rent in Rajarajeshwari Nagar,11000,750
2476,2 BHK Independent Builder Floor for rent in Dilsukh Nagar,11500,1100
2477,2 BHK Independent Builder Floor for rent in Afsar Khan Colony,14000,1400
2478,1 Bedroom Independent House for rent in Malkajgiri,10000,440
2479,2 BHK Residential Apartment for rent in Adibatla,13000,1250
2480,Residential property for rent in Miyapur,4000,959
2481,"2 BHK Residential Apartment for rent in Mahindra Ashvita ,Hafeez Pet Road , Kukatpally",25000,1262
2482,2 Bedroom Independent House for rent in Praneeth Pranav County,11000,1350
2483,3 BHK Residential Apartment for rent in Gachibowli,28000,1414
2484,2 BHK Residential Apartment for rent in Serlingampally,14000,1200
2485,2 BHK Residential Apartment for rent in Miyapur,18000,951
2486,3 BHK Independent Builder Floor for rent in Vanasthalipuram,13500,1180
2487,2 BHK Residential Apartment for rent in Madhava Nagar Colony,15000,1140
2488,3 BHK Residential Apartment for rent in Indira Nagar,38000,1940
2489,1 Bedroom Independent House for rent in Ameenpur,8000,700
2490,2 Bedroom Independent House for rent in Alwal,14500,1120
2491,1 Bedroom Independent House for rent in Jayalaxmi Nagar,7000,1200
2492,3 BHK Residential Apartment for rent in Kondapur,30000,1840
2493,2 Bedroom Independent House for rent in Diamond Hills,9800,990
2494,"2 Bedroom Independent House for rent in SaiAmbika Phase 1, Ameenpur",9000,1100
2495,"2 Bedroom Independent House for rent in SaiAmbika Phase 1, Ameenpur",9000,1100
2496,3 BHK Residential Apartment for rent in Kondapur,30000,1840
2497,2 Bedroom Independent House for rent in Diamond Hills,9800,990
2498,"2 Bedroom Independent House for rent in SaiAmbika Phase 1, Ameenpur",9000,1100
2499,1 Bedroom Independent House for rent in Ramachandraih colony,6800,750
2500,3 BHK Residential Apartment for rent in Financial District,32000,2520
2501,1 BHK Independent Builder Floor for rent in Badangpet,5000,1100
2502,3 BHK Residential Apartment for rent in Nallagandla,22000,1450
2503,2 BHK Residential Apartment for rent in Road No 1,9000,880
2504,4 BHK Residential Apartment for rent in Kondapur,35000,2400
2505,2 BHK Residential Apartment for rent in Kothaguda,16000,1100
2506,2 BHK Independent Builder Floor for rent in Bhavanipuram,9000,1200
2507,1 Bedroom Independent House for rent in Gandhamguda,6500,1250
2508,2 BHK Independent Builder Floor for rent in Krishna Reddy Pet,10000,1000
2509,3 BHK Independent Builder Floor for rent in Chikkadapally,25000,1750
2510,"2 BHK Residential Apartment for rent in Durga Nagar, RAJBHAVAN ROAD, SOMAJIGUDA",22000,1050
2511,2 BHK Residential Apartment for rent in Gopanapalli Thanda,21000,1185
2512,2 BHK Residential Apartment for rent in Greenhills Colony,9000,900
2513,(1 RK) Studio Apartment for rent in Ram Nagar,6600,600
2514,1 BHK Independent Builder Floor for rent in Amberpet,7000,750
2515,2 BHK Residential Apartment for rent in Venkat Reddy Colony,20000,1200
2516,"1 BHK Residential Apartment for rent in L.I.G, BHARATHINAGAR, BHEL, R.C.PURAM",7000,450
2517,3 BHK Residential Apartment for rent in Qutbullapur,15000,1100
2518,1 BHK Independent Builder Floor for rent in Lothkunta,7000,800
2519,"1 Bedroom Independent House for rent in SRIVANI NAGAR, Near ameenpur lake",6500,1000
2520,1 Bedroom Independent House for rent in Annojiguda,6000,750
2521,1 Bedroom Independent House for rent in Annojiguda,6000,750
2522,1 BHK Residential Apartment for rent in Sri Krishna Nagar,13000,800
2523,2 BHK Residential Apartment for rent in Kaithalapur,16500,1250
2524,3 BHK Residential Apartment for rent in Whitefield,40000,1980
2525,2 Bedroom Independent House for rent in Gayathri Nagar Colony,8500,800
2526,1 BHK Independent Builder Floor for rent in Road No. 14,8000,600
2527,2 BHK Residential Apartment for rent in Miyapur,12000,800
2528,2 Bedroom Independent House for rent in Serlingampally,16000,1000
2529,2 BHK Residential Apartment for rent in Madinaguda,17000,1100
2530,2 Bedroom Independent House for rent in Kailash Nagar,9500,2700
2531,2 BHK Independent Builder Floor for rent in Nawab Saheb Kunta,7000,900
2532,"3 BHK Residential Apartment for rent in Jubilee Enclave, Madhapur",35000,2050
2533,13 Bedroom Independent House for rent in Bahadurpura,60000,2790
2534,3 BHK Residential Apartment for rent in Chandanagar,22000,1000
2535,1 BHK Independent Builder Floor for rent in Medipally,7000,800
2536,1 Bedroom Independent House for rent in Chaderghat,11000,1800
2537,2 BHK Independent Builder Floor for rent in Beeramguda,13000,900
2538,2 Bedroom Independent House for rent in Green Avenue,10000,1000
2539,1 Bedroom Independent House for rent in Srujana Lakshmi Nagar,7500,700
2540,2 BHK Residential Apartment for rent in Bachupally X Roads,9000,900
2541,2 BHK Residential Apartment for rent in Chandanagar,16000,1090
2542,1 Bedroom Independent House for rent in VALLABH NAGAR,6000,600
2543,3 BHK Residential Apartment for rent in Kokapet,33000,1480
2544,3 BHK Independent Builder Floor for rent in BHEL,20000,2000
2545,3 BHK Residential Apartment for rent in Bahadurpura,18000,1000
2546,2 BHK Residential Apartment for rent in Chiranjeevi Nagar,15000,1200
2547,2 BHK Residential Apartment for rent in Chiranjeevi Nagar,15000,1200
2548,2 BHK Residential Apartment for rent in Chandanagar,16000,1090
2549,2 BHK Residential Apartment for rent in Attapur Ring Road,11000,950
2550,2 BHK Independent Builder Floor for rent in Pochamma Bagh,11000,1000
2551,3 BHK Residential Apartment for rent in Miyapur,17000,1450
2552,2 BHK Residential Apartment for rent in KPHB,13500,1000
2553,2 BHK Independent Builder Floor for rent in Gouthami Nagar Colony,15000,1300
2554,2 Bedroom Independent House for rent in Peerzadiguda,9000,1050
2555,2 BHK Residential Apartment for rent in Lingampally,16000,900
2556,1 BHK Independent Builder Floor for rent in Kukatpally,12500,790
2557,2 Bedroom Independent House for rent in Lecturers Colony,10000,150
2558,2 BHK Residential Apartment for rent in Vinayak Nagar,17000,1240
2559,2 BHK Residential Apartment for rent in Financial District,25000,980
2560,3 BHK Residential Apartment for rent in Gachibowli,60000,2018
2561,3 Bedroom Independent House for rent in Akbarpura,17000,2070
2562,1 BHK Independent Builder Floor for rent in Puppalaguda,10000,750
2563,2 BHK Independent Builder Floor for rent in Rajarajeshwari Nagar,20000,2200
2564,3 BHK Residential Apartment for rent in Kondapur,22000,1755
2565,3 BHK Residential Apartment for rent in Kondapur,22000,1200
2566,1 BHK Independent Builder Floor for rent in Gandhamguda,15500,950
2567,1 Bedroom Independent House for rent in Dullapally,7000,600
2568,2 Bedroom Independent House for rent in BHEL MIG PHASE 2,10000,11250
2569,2 BHK Residential Apartment for rent in krishna sai enclave,12000,1000
2570,2 BHK Independent Builder Floor for rent in Indresham,7000,700
2571,2 BHK Residential Apartment for rent in Aditya Nagar Colony,10000,990
2572,3 BHK Independent Builder Floor for rent in Jaihind Nagar Colony,16000,1240
2573,3 BHK Independent Builder Floor for rent in Jaihind Nagar Colony,16000,1240
2574,3 BHK Independent Builder Floor for rent in Tolichowki,13500,1000
2575,2 BHK Residential Apartment for rent in Aminpur,11000,1200
2576,1 BHK Residential Apartment for rent in Picket,12000,2070
2577,2 BHK Residential Apartment for rent in Tirumala Nagar,10000,1350
2578,3 BHK Residential Apartment for rent in P Janardhan Reddy Nagar,30000,1450
2579,2 Bedroom Independent House for rent in Defence Colony,15000,1600
2580,2 BHK Independent Builder Floor for rent in Talab Katta,12000,1650
2581,2 BHK Independent Builder Floor for rent in Manneguda,15000,1000
2582,2 BHK Residential Apartment for rent in Padmasri hills,11000,820
2583,3 BHK Independent Builder Floor for rent in Prashant Nagar,20000,2200
2584,"2 Bedroom Independent House for rent in Phase 4, Jayalaxmi nagar",10500,1500
2585,2 BHK Independent Builder Floor for rent in Jagatgiri gutta,9000,1000
2586,1 BHK Independent Builder Floor for rent in Borabanda,7000,360
2587,1 BHK Residential Apartment for rent in Borabanda,7000,400
2588,1 Bedroom Independent House for rent in Malakpet,7300,950
2589,2 BHK Independent Builder Floor for rent in Peerzadiguda road.,8000,1150
2590,3 BHK Independent Builder Floor for rent in Beeramguda,11000,1200
2591,2 BHK Independent Builder Floor for rent in Beeramguda,9000,1200
2592,3 BHK Residential Apartment for rent in Puppalaguda,40000,1800
2593,1 BHK Independent Builder Floor for rent in Hafeezpet,10000,450
2594,2 BHK Independent Builder Floor for rent in Lingampally,17000,1100
2595,2 BHK Independent Builder Floor for rent in Upparpally,15000,1800
2596,1 BHK Independent Builder Floor for rent in Medipally,6000,800
2597,1 Bedroom Independent House for rent in Shamlal building,9000,650
2598,1 BHK Independent Builder Floor for rent in Bachpan School,8000,600
2599,1 BHK Independent Builder Floor for rent in Bachpan School,8000,600
2600,1 BHK Independent Builder Floor for rent in Medipally,6000,800
2601,1 Bedroom Independent House for rent in Shamlal building,9000,650
2602,1 BHK Independent Builder Floor for rent in Bachpan School,8000,600
2603,2 Bedroom Independent House for rent in Saleem Nagar,10000,700
2604,4 Bedroom Independent House for rent in Madhura Puri,40000,5400
2605,2 BHK Residential Apartment for rent in Punjagutta,18000,800
2606,1 BHK Residential Apartment for rent in Venkatgiri,7000,590
2607,2 BHK Residential Apartment for rent in Kondapur,19000,1125
2608,3 BHK Residential Apartment for rent in Gulmohar Park Colony,20000,1550
2609,2 BHK Independent Builder Floor for rent in 3 Monkeys Circle,12000,1250
2610,1 Bedroom Independent House for rent in Karkhana,22000,1500
2611,2 BHK Residential Apartment for rent in KMR Estates,27000,1190
2612,1 Bedroom Independent House for rent in Karmanghat,6500,1350
2613,2 BHK Residential Apartment for rent in BS Makta,15000,760
2614,3 BHK Independent Builder Floor for rent in padma colony,20000,1500
2615,1 Bedroom Independent House for rent in Beeramguda,5500,900
2616,3 Bedroom Independent House for rent in HMT Swarnapuri Colony,18000,1500
2617,2 BHK Residential Apartment for rent in Sri Ramnagar,15000,1000
2618,2 BHK Residential Apartment for rent in Pragathi Nagar,16000,1200
2619,3 BHK Residential Apartment for rent in Nallagandla,22000,1450
2620,2 BHK Residential Apartment for rent in Krishna Nagar,15000,1000
2621,1 BHK Residential Apartment for rent in Serlingampally,11000,500
2622,"3 BHK Residential Apartment for rent in Kavuri Hills, Phase -1",30000,1800
2623,2 BHK Residential Apartment for rent in old malepally,13000,1300
2624,2 BHK Residential Apartment for rent in JNTU KPHB COLONY,28000,22000
2625,2 BHK Residential Apartment for rent in JNTU KPHB COLONY,28000,22000
2626,2 BHK Residential Apartment for rent in 6th Phase KPHB,18500,1000
2627,"1 Bedroom Independent House for rent in Secretariat Colony ,TNGOs Colony, Gacchibowli",7500,1503
2628,2 BHK Residential Apartment for rent in Kukatpally,25000,1135
2629,2 BHK Residential Apartment for rent in Srivivekananda Nagar,18000,1200
2630,2 BHK Residential Apartment for rent in Gokul Plots,11000,950
2631,2 BHK Residential Apartment for rent in Krushi Nagar,15000,1145
2632,3 BHK Residential Apartment for rent in Puppalaguda,19500,2000
2633,1 Bedroom Independent House for rent in Gokul Nagar,9500,800
2634,1 BHK Independent Builder Floor for rent in Shakti Nagar,7000,515
2635,3 BHK Residential Apartment for rent in Chandanagar,15000,1260
2636,2 Bedroom Independent House for rent in South Swaroop Nagar,9000,220
2637,1 Bedroom Independent House for rent in Siddiq Nagar,10000,900
2638,2 Bedroom Independent House for rent in Neknampur,14500,10800
2639,2 BHK Residential Apartment for rent in KOHESAR COLONY,14000,1500
2640,2 BHK Residential Apartment for rent in Migh Colony,15000,1000
2641,3 BHK Residential Apartment for rent in KPR Colony,25000,1840
2642,1 Bedroom Independent House for rent in Nacharam Mandal,8000,700
2643,2 BHK Residential Apartment for rent in Hafeezpet,20000,1275
2644,Residential property for rent in K P R colony,15000,1120
2645,"3 BHK Residential Apartment for rent in VIP Hills, Sri Sai Nagar",20000,1700
2646,2 BHK Residential Apartment for rent in Lingampally,13500,1150
2647,2 BHK Residential Apartment for rent in KPHB colony,15000,1000
2648,Residential property for rent in Chikkadapally,13000,1000
2649,2 BHK Independent Builder Floor for rent in K.G.R Colony,10500,850
2650,2 BHK Independent Builder Floor for rent in K.G.R Colony,10500,850
2651,2 BHK Independent Builder Floor for rent in K.G.R Colony,10500,850
2652,1 BHK Independent Builder Floor for rent in Langar Houz,8500,500
2653,2 BHK Residential Apartment for rent in New Nallakunta,17000,1000
2654,2 BHK Independent Builder Floor for rent in tngos colony gachibowli,15000,2500
2655,"2 BHK Residential Apartment for rent in Bakaram, Musheerabad",12000,800
2656,2 BHK Residential Apartment for rent in Bandlaguda,12000,1200
2657,2 Bedroom Independent House for rent in Suleman Nagar,10000,300
2658,"2 BHK Residential Apartment for rent in Puppalguda, Manikonda",14000,1150
2659,2 Bedroom Independent House for rent in Uppal,9500,1000
2660,2 Bedroom Independent House for rent in SBH,20000,1100
2661,2 BHK Residential Apartment for rent in Begumpet,20000,1100
2662,3 BHK Residential Apartment for rent in Kokapet,35000,1985
2663,2 BHK Residential Apartment for rent in 5th Phase KPHB,31000,1278
2664,1 Bedroom Independent House for rent in Manikonda,9000,900
2665,1 BHK Independent Builder Floor for rent in Ramchandra Puram,6500,780
2666,3 BHK Residential Apartment for rent in Pocharam,24000,1443
2667,2 BHK Residential Apartment for rent in Nallagandla,25300,1220
2668,3 BHK Residential Apartment for rent in Kokapet,22000,1800
2669,2 Bedroom Independent House for rent in Hanuman Nagar,15000,900
2670,1 Bedroom Independent House for rent in Beeramguda,7000,650
2671,3 BHK Residential Apartment for rent in Vishali Nagar,18000,1600
2672,"3 BHK Residential Apartment for rent in Netaji nagar colony, Attapur, Pillar no. 96",10000,1000
2673,2 Bedroom Independent House for rent in BHEL Employees Co-operative Housing Society,9500,700
2674,3 BHK Residential Apartment for rent in Nallagandla,23000,1450
2675,2 BHK Residential Apartment for rent in Aditya Nagar Colony,12000,1500
2676,1 Bedroom Independent House for rent in Tulsinagar,8000,1400
2677,1 Bedroom Independent House for rent in Tulsinagar,8000,1400
2678,2 BHK Residential Apartment for rent in Gouthami Nagar Colony,15500,1100
2679,"3 BHK Residential Apartment for rent in KMR ESTATES, KONDAPUR",25000,1250
2680,3 BHK Residential Apartment for rent in Gachibowli,30000,1770
2681,2 BHK Independent Builder Floor for rent in Mallikarjuna Nagar,10000,900
2682,2 BHK Independent Builder Floor for rent in Gajulramaram,8000,1100
2683,2 BHK Residential Apartment for rent in Adibatla,15000,947
2684,2 BHK Residential Apartment for rent in Migh Colony,15000,1000
2685,2 BHK Residential Apartment for rent in Migh Colony,15000,1100
2686,2 BHK Residential Apartment for rent in Arvind Nagar Colony,12500,850
2687,3 BHK Independent Builder Floor for rent in Pragathi nagar,19000,1820
2688,1 Bedroom Farm house for rent in Sangareddy,20000,27900
2689,3 BHK Residential Apartment for rent in Raidurgam,22000,1475
2690,2 BHK Independent Builder Floor for rent in TurkaYamjal,6300,950
2691,1 Bedroom Independent House for rent in Ramnager Hyderabad,7000,400
2692,3 BHK Residential Apartment for rent in Miyapur,24000,1650
2693,1 Bedroom Independent House for rent in Shivarampally,6500,250
2694,4 BHK Residential Apartment for rent in Tolichowki,91000,2000
2695,3 BHK Independent Builder Floor for rent in Moghal Nagar,15000,1150
2696,2 Bedroom Independent House for rent in vaidehinagar vanasthalipuram hyderabad,9000,1200
2697,3 BHK Independent Builder Floor for rent in Indira Nagar,25000,1500
2698,2 BHK Independent Builder Floor for rent in Sai Nagar,8000,850
2699,3 BHK Residential Apartment for rent in Chanda Nagar,16000,1490
2700,1 BHK Independent Builder Floor for rent in Vattinagulapally,12000,900
2701,3 BHK Residential Apartment for rent in Izzat Nagar,3.6,1600
